channel,id,date,url,views,tags,segment,text
kpszsu,67139,2026-07-02T13:38:48+00:00,https://t.me/kpszsu/67139,151K,КАБ,КАБи на Дніпропетровщину!,"🚀
КАБи на Дніпропетровщину!"
kpszsu,67147,2026-07-02T18:23:22+00:00,https://t.me/kpszsu/67147,159K,КАБ,КАБи на Сумщину та Донеччину!,"🚀
КАБи на Сумщину та Донеччину!"
kpszsu,67153,2026-07-02T19:32:08+00:00,https://t.me/kpszsu/67153,148K,КАБ,КАБи на Запоріжжя!,"🚀
КАБи на Запоріжжя!"
kpszsu,67161,2026-07-03T00:25:46+00:00,https://t.me/kpszsu/67161,110K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67163,2026-07-03T00:54:43+00:00,https://t.me/kpszsu/67163,104K,КАБ,КАБи на північ Харківщини!,"🚀
КАБи на північ Харківщини!"
kpszsu,67164,2026-07-03T01:10:06+00:00,https://t.me/kpszsu/67164,103K,КАБ,КАБи на Дніпропетровщину!,"🚀
КАБи на Дніпропетровщину!"
kpszsu,67165,2026-07-03T01:11:47+00:00,https://t.me/kpszsu/67165,105K,КАБ,КАБи на північ Харківщини!,"🚀
КАБи на північ Харківщини!"
kpszsu,67166,2026-07-03T01:12:48+00:00,https://t.me/kpszsu/67166,108K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67167,2026-07-03T01:53:44+00:00,https://t.me/kpszsu/67167,109K,КАБ,КАБи на Дніпропетровщину та Запорізьку область!,"🚀
КАБи на Дніпропетровщину та Запорізьку область!"
kpszsu,67168,2026-07-03T01:58:55+00:00,https://t.me/kpszsu/67168,109K,КАБ,КАБ на місто Запоріжжя!,"🚀
КАБ на місто Запоріжжя!"
kpszsu,67173,2026-07-03T02:40:37+00:00,https://t.me/kpszsu/67173,111K,КАБ,КАБи на Дніпропетровщину!,"🚀
КАБи на Дніпропетровщину!"
kpszsu,67191,2026-07-03T06:36:12+00:00,https://t.me/kpszsu/67191,117K,КАБ,Пуски КАБ на Сумщину!,"🚀
Пуски КАБ на Сумщину!"
kpszsu,67192,2026-07-03T06:40:32+00:00,https://t.me/kpszsu/67192,116K,КАБ,Пуски КАБ на Донеччину!,"🚀
Пуски КАБ на Донеччину!"
kpszsu,67194,2026-07-03T06:59:16+00:00,https://t.me/kpszsu/67194,113K,КАБ,Пуски КАБ на північ Харківщини.,"🚀
Пуски КАБ на північ Харківщини."
kpszsu,67199,2026-07-03T07:49:03+00:00,https://t.me/kpszsu/67199,108K,КАБ,КАБи ➡️ на Харківщину зі сходу.,"🚀
КАБи
➡️
на Харківщину зі сходу."
kpszsu,67203,2026-07-03T08:05:57+00:00,https://t.me/kpszsu/67203,104K,КАБ,КАБи ➡️ на схід Дніпропетровщини!,"🚀
КАБи
➡️
на схід Дніпропетровщини!"
kpszsu,67204,2026-07-03T08:12:35+00:00,https://t.me/kpszsu/67204,104K,КАБ,КАБи ➡️ на Запорізьку область!,"🚀
КАБи
➡️
на Запорізьку область!"
kpszsu,67208,2026-07-03T08:59:31+00:00,https://t.me/kpszsu/67208,113K,КАБ,КАБи ➡️ на схід Дніпропетровщини!,"🚀
КАБи
➡️
на схід Дніпропетровщини!"
kpszsu,67225,2026-07-03T12:38:49+00:00,https://t.me/kpszsu/67225,114K,КАБ,КАБи на Сумщині.,"🚀
КАБи на Сумщині."
kpszsu,67226,2026-07-03T12:40:24+00:00,https://t.me/kpszsu/67226,114K,КАБ,КАБи на Харківщині.,"🚀
КАБи на Харківщині."
kpszsu,67229,2026-07-03T13:12:25+00:00,https://t.me/kpszsu/67229,109K,КАБ,КАБи ➡️ на Херсонщину (вектор - Херсон)!,"🚀
КАБи
➡️
на Херсонщину (вектор - Херсон)!"
kpszsu,67230,2026-07-03T13:16:36+00:00,https://t.me/kpszsu/67230,109K,КАБ,КАБи ➡️ на південь Сумщини!,"🚀
КАБи
➡️
на південь Сумщини!"
kpszsu,67231,2026-07-03T13:23:28+00:00,https://t.me/kpszsu/67231,109K,КАБ,КАБи на Харківщину зі сходу!,"🚀
КАБи на Харківщину зі сходу!"
kpszsu,67233,2026-07-03T13:33:56+00:00,https://t.me/kpszsu/67233,110K,КАБ,КАБи ➡️ на Запорізьку область (вектор - н.п.Кушугум)!,"🚀
КАБи
➡️
на Запорізьку область (вектор - н.п.Кушугум)!"
kpszsu,67234,2026-07-03T13:35:44+00:00,https://t.me/kpszsu/67234,109K,КАБ,КАБи ➡️ на північний схід Харківщини!,"🚀
КАБи
➡️
на північний схід Харківщини!"
kpszsu,67235,2026-07-03T13:36:57+00:00,https://t.me/kpszsu/67235,109K,КАБ,КАБи ➡️ на Запорізьку область (вектор - н.п.Кушугум)!,"🚀
КАБи
➡️
на Запорізьку область (вектор - н.п.Кушугум)!"
kpszsu,67237,2026-07-03T13:50:41+00:00,https://t.me/kpszsu/67237,108K,КАБ,КАБи ➡️ на Донеччину!,"🚀
КАБи
➡️
на Донеччину!"
kpszsu,67239,2026-07-03T13:58:40+00:00,https://t.me/kpszsu/67239,112K,КАБ,КАБи ➡️ на схід Дніпропетровщини!,"🚀
КАБи
➡️
на схід Дніпропетровщини!"
kpszsu,67240,2026-07-03T14:10:39+00:00,https://t.me/kpszsu/67240,111K,КАБ,КАБи ➡️ на Запорізьку область!,"🚀
КАБи
➡️
на Запорізьку область!"
kpszsu,67249,2026-07-03T15:15:42+00:00,https://t.me/kpszsu/67249,113K,КАБ,КАБи ➡️ на Харківщину зі сходу.,"🚀
КАБи
➡️
на Харківщину зі сходу."
kpszsu,67267,2026-07-03T18:28:09+00:00,https://t.me/kpszsu/67267,134K,КАБ,КАБи на Донеччину.,"🚀
КАБи на Донеччину."
kpszsu,67269,2026-07-03T18:33:59+00:00,https://t.me/kpszsu/67269,142K,КАБ,КАБи на Сумщині.,"🚀
КАБи на Сумщині."
kpszsu,67270,2026-07-03T18:58:19+00:00,https://t.me/kpszsu/67270,141K,КАБ,КАБи на Запоріжжі.,"🚀
КАБи на Запоріжжі."
kpszsu,67272,2026-07-03T19:36:13+00:00,https://t.me/kpszsu/67272,138K,КАБ,КАБи на Харківщині.,"🚀
КАБи на Харківщині."
kpszsu,67274,2026-07-03T19:55:46+00:00,https://t.me/kpszsu/67274,135K,КАБ,КАБи на Дніпропетровщині.,"🚀
КАБи на Дніпропетровщині."
kpszsu,67280,2026-07-03T23:52:24+00:00,https://t.me/kpszsu/67280,106K,КАБ,КАБи на Харківщині.,"🚀
КАБи на Харківщині."
kpszsu,67287,2026-07-04T00:31:40+00:00,https://t.me/kpszsu/67287,84.9K,КАБ,КАБи ➡️ на Донеччину!,"🚀
КАБи
➡️
на Донеччину!"
kpszsu,67291,2026-07-04T01:01:11+00:00,https://t.me/kpszsu/67291,97.4K,КАБ,КАБи ➡️ на Харківщину зі сходу.,"🚀
КАБи
➡️
на Харківщину зі сходу."
kpszsu,67292,2026-07-04T01:26:19+00:00,https://t.me/kpszsu/67292,94.8K,КАБ,КАБи ➡️ на Запорізьку та Донецьку області!,"🚀
КАБи
➡️
на Запорізьку та Донецьку області!"
kpszsu,67294,2026-07-04T02:07:05+00:00,https://t.me/kpszsu/67294,93.9K,КАБ,КАБи ➡️ на схід Дніпропетровщини!,"🚀
КАБи
➡️
на схід Дніпропетровщини!"
kpszsu,67295,2026-07-04T02:27:37+00:00,https://t.me/kpszsu/67295,94.1K,БпЛА|КАБ,КАБи ➡️ на область.,"- Дніпропетровщина:
🛵
БпЛА на сході від Нікополя, курс - північний/північно-східний;
- Запорізька область:
🛵
🛸
БпЛА в напрямку Вільнянська з півдня,
🚀
КАБи
➡️
на область."
kpszsu,67299,2026-07-04T03:04:19+00:00,https://t.me/kpszsu/67299,105K,КАБ,КАБи ➡️ на Запорізьку область!,"🚀
КАБи
➡️
на Запорізьку область!"
kpszsu,67307,2026-07-04T06:07:33+00:00,https://t.me/kpszsu/67307,123K,КАБ,КАБи на північ Сумщини.,"🚀
КАБи на північ Сумщини."
kpszsu,67309,2026-07-04T06:26:10+00:00,https://t.me/kpszsu/67309,137K,КАБ,КАБи на Сумщину.,"🚀
КАБи на Сумщину."
kpszsu,67310,2026-07-04T06:33:16+00:00,https://t.me/kpszsu/67310,139K,КАБ,Пуски КАБ на Донеччину!,"🚀
Пуски КАБ на Донеччину!"
kpszsu,67311,2026-07-04T06:35:24+00:00,https://t.me/kpszsu/67311,140K,КАБ,Пуски КАБ на північ Харківщини.,"🚀
Пуски КАБ на північ Харківщини."
kpszsu,67316,2026-07-04T08:10:05+00:00,https://t.me/kpszsu/67316,137K,КАБ,Пуски КАБ на Донеччині та півдні Харківщини.,"🚀
Пуски КАБ на Донеччині та півдні Харківщини."
kpszsu,67322,2026-07-04T13:11:52+00:00,https://t.me/kpszsu/67322,141K,КАБ,Пуски КАБ на м. Запоріжжя.,"🚀
Пуски КАБ на м. Запоріжжя."
kpszsu,67325,2026-07-04T14:00:09+00:00,https://t.me/kpszsu/67325,128K,КАБ,Пуски КАБ на Запоріжжі.,"🚀
Пуски КАБ на Запоріжжі."
kpszsu,67335,2026-07-04T17:55:20+00:00,https://t.me/kpszsu/67335,147K,КАБ,Пуски КАБ на північ Харківщини.,"🚀
Пуски КАБ на північ Харківщини."
kpszsu,67336,2026-07-04T19:05:55+00:00,https://t.me/kpszsu/67336,143K,КАБ,Пуски КАБ на м. Запоріжжя.,"🚀
Пуски КАБ на м. Запоріжжя."
kpszsu,67337,2026-07-04T19:12:08+00:00,https://t.me/kpszsu/67337,144K,КАБ,Повторні пуски КАБ на м. Запоріжжя.,"🚀
Повторні пуски КАБ на м. Запоріжжя."
kpszsu,67349,2026-07-05T00:12:18+00:00,https://t.me/kpszsu/67349,120K,КАБ,Пуски КАБ на північ Сумщини.,"🚀
Пуски КАБ на північ Сумщини."
kpszsu,67352,2026-07-05T00:56:36+00:00,https://t.me/kpszsu/67352,116K,КАБ,Пуски КАБ на Харківщину.,"🚀
Пуски КАБ на Харківщину."
kpszsu,67355,2026-07-05T01:59:15+00:00,https://t.me/kpszsu/67355,111K,КАБ,КАБи на Запоріжжі.,"🚀
КАБи на Запоріжжі."
kpszsu,67358,2026-07-05T03:10:36+00:00,https://t.me/kpszsu/67358,118K,КАБ,КАБи на Запоріжжі та Донеччині.,"🚀
КАБи на Запоріжжі та Донеччині."
kpszsu,67369,2026-07-05T05:57:41+00:00,https://t.me/kpszsu/67369,121K,КАБ,КАБи на Сумщину.,"🚀
КАБи на Сумщину."
kpszsu,67370,2026-07-05T06:39:58+00:00,https://t.me/kpszsu/67370,119K,КАБ,КАБи на північ Харківщини.,"🚀
КАБи на північ Харківщини."
kpszsu,67383,2026-07-05T08:23:13+00:00,https://t.me/kpszsu/67383,119K,КАБ,"КАБи на Дніпропетровщину, Харківщину, Донеччину.","🚀
КАБи на Дніпропетровщину, Харківщину, Донеччину."
kpszsu,67396,2026-07-05T10:41:02+00:00,https://t.me/kpszsu/67396,128K,КАБ,КАБи на північ Харківщини.,"🚀
КАБи на північ Харківщини."
kpszsu,67405,2026-07-05T13:33:09+00:00,https://t.me/kpszsu/67405,118K,КАБ,КАБи на Дніпропетровщину.,"🚀
КАБи на Дніпропетровщину."
kpszsu,67407,2026-07-05T13:45:49+00:00,https://t.me/kpszsu/67407,116K,КАБ,КАБи на Запорізьку область.,"🚀
КАБи на Запорізьку область."
kpszsu,67413,2026-07-05T14:07:42+00:00,https://t.me/kpszsu/67413,131K,КАБ,КАБ у напрямку м. Запоріжжя з півдня.,"🚀
КАБ у напрямку м. Запоріжжя з півдня."
kpszsu,67416,2026-07-05T14:15:19+00:00,https://t.me/kpszsu/67416,137K,КАБ,КАБ у напрямку м. Запоріжжя з півдня.,"🚀
КАБ у напрямку м. Запоріжжя з півдня."
kpszsu,67432,2026-07-05T18:50:15+00:00,https://t.me/kpszsu/67432,181K,КАБ,КАБи на Дніпропетровщину.,"🚀
КАБи на Дніпропетровщину."
kpszsu,67480,2026-07-06T00:39:56+00:00,https://t.me/kpszsu/67480,172K,КАБ,КАБи на Сумщину та Донеччину.,"🚀
КАБи на Сумщину та Донеччину."
kpszsu,67488,2026-07-06T01:53:38+00:00,https://t.me/kpszsu/67488,172K,КАБ,Пуски КАБ на Запоріжжі.,"🚀
Пуски КАБ на Запоріжжі."
kpszsu,67508,2026-07-06T06:16:45+00:00,https://t.me/kpszsu/67508,155K,КАБ,КАБи на Харківщину.,"🚀
КАБи на Харківщину."
kpszsu,67516,2026-07-06T07:40:08+00:00,https://t.me/kpszsu/67516,156K,КАБ,КАБи на Херсонщину!,"🚀
КАБи на Херсонщину!"
kpszsu,67518,2026-07-06T07:54:00+00:00,https://t.me/kpszsu/67518,148K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67520,2026-07-06T08:09:37+00:00,https://t.me/kpszsu/67520,157K,КАБ,КАБи на Херсонщину та Запорізьку область!,"🚀
КАБи на Херсонщину та Запорізьку область!"
kpszsu,67522,2026-07-06T08:32:06+00:00,https://t.me/kpszsu/67522,159K,КАБ,КАБи на Дніпропетровщину!,"🚀
КАБи на Дніпропетровщину!"
kpszsu,67526,2026-07-06T09:28:19+00:00,https://t.me/kpszsu/67526,158K,КАБ,КАБи на Запорізьку область!,"🚀
КАБи на Запорізьку область!"
kpszsu,67534,2026-07-06T11:57:23+00:00,https://t.me/kpszsu/67534,144K,КАБ,КАБи на північний схід Харківщини!,"🚀
КАБи на північний схід Харківщини!"
kpszsu,67537,2026-07-06T12:24:56+00:00,https://t.me/kpszsu/67537,136K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67545,2026-07-06T12:57:56+00:00,https://t.me/kpszsu/67545,139K,КАБ,КАБи на північ та схід Харківщини!,"🚀
КАБи на північ та схід Харківщини!"
kpszsu,67547,2026-07-06T13:17:03+00:00,https://t.me/kpszsu/67547,143K,КАБ,КАБи на Херсонщину!,"🚀
КАБи на Херсонщину!"
kpszsu,67548,2026-07-06T13:18:07+00:00,https://t.me/kpszsu/67548,146K,КАБ,КАБи на Донеччину!,"🚀
КАБи на Донеччину!"
kpszsu,67551,2026-07-06T13:43:43+00:00,https://t.me/kpszsu/67551,138K,КАБ,КАБи на Дніпропетровщину!,КАБи на Дніпропетровщину!
kpszsu,67553,2026-07-06T14:05:28+00:00,https://t.me/kpszsu/67553,141K,КАБ,КАБи на Запорізьку область!,"🚀
КАБи на Запорізьку область!"
kpszsu,67570,2026-07-06T17:48:48+00:00,https://t.me/kpszsu/67570,160K,БпЛА|КАБ,Пуск КАБ на Сумщину та реактивні БпЛА на північ Сумської області.,"🚀
Пуск КАБ на Сумщину та реактивні БпЛА на північ Сумської області."
kpszsu,67573,2026-07-06T18:24:18+00:00,https://t.me/kpszsu/67573,157K,КАБ,Пуск КАБ на північ Харківщини.,"🚀
Пуск КАБ на північ Харківщини."
kpszsu,67574,2026-07-06T18:27:17+00:00,https://t.me/kpszsu/67574,160K,КАБ,Пуск КАБ на Донеччині.,"🚀
Пуск КАБ на Донеччині."
kpszsu,67577,2026-07-06T18:47:53+00:00,https://t.me/kpszsu/67577,178K,КАБ,Пуск КАБ на Запорізьку область.,"🚀
Пуск КАБ на Запорізьку область."
kpszsu,67578,2026-07-06T18:57:51+00:00,https://t.me/kpszsu/67578,178K,КАБ,Пуск КАБ на Запорізьку область.,"🚀
Пуск КАБ на Запорізьку область."
kpszsu,67580,2026-07-06T19:35:47+00:00,https://t.me/kpszsu/67580,171K,КАБ,Пуск КАБ на Донеччину.,"🚀
Пуск КАБ на Донеччину."
kpszsu,67592,2026-07-06T20:21:52+00:00,https://t.me/kpszsu/67592,152K,КАБ,Пуск КАБ на південно-східний напрямок Дніпропетровщини.,"🚀
Пуск КАБ на південно-східний напрямок Дніпропетровщини."
kpszsu,67611,2026-07-07T00:25:47+00:00,https://t.me/kpszsu/67611,108K,КАБ,КАБи на півночі Сумщини.,"🚀
КАБи на півночі Сумщини."
kpszsu,67613,2026-07-07T00:40:59+00:00,https://t.me/kpszsu/67613,110K,КАБ,КАБи на Донеччині,"🚀
КАБи на Донеччині"
kpszsu,67614,2026-07-07T00:49:30+00:00,https://t.me/kpszsu/67614,111K,КАБ,КАБи на півночі Харківщини,"🚀
КАБи на півночі Харківщини"
kpszsu,67615,2026-07-07T01:40:07+00:00,https://t.me/kpszsu/67615,111K,КАБ,КАБи на Запоріжжі,"🚀
КАБи на Запоріжжі"
kpszsu,67618,2026-07-07T02:02:36+00:00,https://t.me/kpszsu/67618,117K,КАБ,КАБи на Дніпропетровщині,"🚀
КАБи на Дніпропетровщині"
kpszsu,67628,2026-07-07T04:58:37+00:00,https://t.me/kpszsu/67628,121K,КАБ,КАБи на Запоріжжі,"🚀
КАБи на Запоріжжі"
kpszsu,67637,2026-07-07T06:25:07+00:00,https://t.me/kpszsu/67637,130K,КАБ,КАБ курсом на схід Дніпропетровщини з Донеччини.,"🚀
КАБ курсом на схід Дніпропетровщини з Донеччини."
kpszsu,67640,2026-07-07T06:43:33+00:00,https://t.me/kpszsu/67640,138K,КАБ,КАБи на межі Харківщини та Сумщини.,"🚀
КАБи на межі Харківщини та Сумщини."
kpszsu,67643,2026-07-07T06:58:52+00:00,https://t.me/kpszsu/67643,144K,КАБ,КАБи на північ Харківщини.,"🚀
КАБи на північ Харківщини."
kpszsu,67645,2026-07-07T07:17:01+00:00,https://t.me/kpszsu/67645,153K,КАБ,Пуск КАБ на Донеччину.,"🚀
Пуск КАБ на Донеччину."
kpszsu,67650,2026-07-07T11:26:05+00:00,https://t.me/kpszsu/67650,164K,КАБ,КАБи на північ Харківщини.,"🚀
КАБи на північ Харківщини."
kpszsu,67654,2026-07-07T12:27:59+00:00,https://t.me/kpszsu/67654,170K,КАБ,КАБи на Харківщину.,"🚀
КАБи на Харківщину."
kpszsu,67655,2026-07-07T12:38:45+00:00,https://t.me/kpszsu/67655,168K,КАБ,КАБи на Донеччину.,"🚀
КАБи на Донеччину."
kpszsu,67657,2026-07-07T13:18:36+00:00,https://t.me/kpszsu/67657,172K,КАБ,КАБи на Запоріжжі.,"🚀
КАБи на Запоріжжі."
kpszsu,67668,2026-07-07T18:12:43+00:00,https://t.me/kpszsu/67668,203K,КАБ,КАБи на північ Харківщини.,"🚀
КАБи на північ Харківщини."
kpszsu,67669,2026-07-07T18:19:13+00:00,https://t.me/kpszsu/67669,205K,КАБ,КАБи на Донеччину.,"🚀
КАБи на Донеччину."
kpszsu,67670,2026-07-07T19:02:10+00:00,https://t.me/kpszsu/67670,204K,КАБ,КАБи ➡️ на Херсонщину.,"🚀
КАБи
➡️
на Херсонщину."
kpszsu,67671,2026-07-07T19:42:11+00:00,https://t.me/kpszsu/67671,199K,КАБ,КАБи на Запоріжжі.,"🚀
КАБи на Запоріжжі."
kpszsu,67672,2026-07-07T20:23:00+00:00,https://t.me/kpszsu/67672,195K,КАБ,КАБи на Дніпропетровщину.,"🚀
КАБи на Дніпропетровщину."
kpszsu,67676,2026-07-07T21:08:17+00:00,https://t.me/kpszsu/67676,221K,КАБ,КАБи на Запоріжжі.,"🚀
КАБи на Запоріжжі."
kpszsu,67689,2026-07-08T00:26:58+00:00,https://t.me/kpszsu/67689,162K,КАБ,Пуски КАБ на Харківщину та Донеччину,"🚀
Пуски КАБ на Харківщину та Донеччину"
kpszsu,67692,2026-07-08T01:13:26+00:00,https://t.me/kpszsu/67692,148K,КАБ,Пуски КАБ на Запоріжжі.,"🚀
Пуски КАБ на Запоріжжі."
kpszsu,67695,2026-07-08T01:35:23+00:00,https://t.me/kpszsu/67695,158K,КАБ,"Пуски КАБ на Донеччині, курсом на Дніпропетровщину.","🚀
Пуски КАБ на Донеччині, курсом на Дніпропетровщину."
kpszsu,67696,2026-07-08T01:40:39+00:00,https://t.me/kpszsu/67696,161K,КАБ,КАБи на Запоріжжя.,"🚀
КАБи на Запоріжжя."
kpszsu,67698,2026-07-08T02:01:32+00:00,https://t.me/kpszsu/67698,166K,КАБ,КАБи на Запоріжжя.,"🚀
КАБи на Запоріжжя."
kpszsu,67705,2026-07-08T03:06:51+00:00,https://t.me/kpszsu/67705,172K,КАБ,КАБи на Запоріжжі.,"🚀
КАБи на Запоріжжі."
kpszsu,67710,2026-07-08T05:48:52+00:00,https://t.me/kpszsu/67710,144K,КАБ,КАБи на Сумщину.,"🚀
КАБи на Сумщину."
kpszsu,67715,2026-07-08T06:51:55+00:00,https://t.me/kpszsu/67715,146K,КАБ,КАБи на Харківщині,"🚀
КАБи на Харківщині"
kpszsu,67716,2026-07-08T07:03:38+00:00,https://t.me/kpszsu/67716,144K,КАБ,КАБи ➡️ на Донеччину.,"🚀
КАБи
➡️
на Донеччину."
kpszsu,67722,2026-07-08T07:49:16+00:00,https://t.me/kpszsu/67722,134K,КАБ,КАБи ➡️ на схід Дніпропетровщини!,"🚀
КАБи
➡️
на схід Дніпропетровщини!"
kpszsu,67724,2026-07-08T07:59:28+00:00,https://t.me/kpszsu/67724,133K,КАБ,КАБи ➡️ на Донеччину.,"🚀
КАБи
➡️
на Донеччину."
kpszsu,67726,2026-07-08T08:13:52+00:00,https://t.me/kpszsu/67726,132K,КАБ,КАБи ➡️ на Запорізьку область.,"🚀
КАБи
➡️
на Запорізьку область."
kpszsu,67734,2026-07-08T08:42:31+00:00,https://t.me/kpszsu/67734,136K,КАБ,КАБи ➡️ на Запорізьку область.,"🚀
КАБи
➡️
на Запорізьку область."
kpszsu,67756,2026-07-08T12:12:04+00:00,https://t.me/kpszsu/67756,170K,КАБ,КАБи на Сумщині,"🚀
КАБи на Сумщині"
kpszsu,67759,2026-07-08T12:43:47+00:00,https://t.me/kpszsu/67759,182K,КАБ,КАБи на Донеччині.,"🚀
КАБи на Донеччині."
kpszsu,67774,2026-07-08T14:43:02+00:00,https://t.me/kpszsu/67774,150K,КАБ,КАБи на схід Дніпропетровщини!,"🚀
КАБи на схід Дніпропетровщини!"
kpszsu,67776,2026-07-08T14:55:17+00:00,https://t.me/kpszsu/67776,149K,КАБ,КАБи ➡️ на Запорізьку область!,"🚀
КАБи
➡️
на Запорізьку область!"
kpszsu,67793,2026-07-08T17:54:44+00:00,https://t.me/kpszsu/67793,166K,КАБ,КАБи на Сумщині.,"🚀
КАБи на Сумщині."
kpszsu,67794,2026-07-08T18:04:47+00:00,https://t.me/kpszsu/67794,166K,КАБ,КАБи на Донеччині,"🚀
КАБи на Донеччині"
kpszsu,67796,2026-07-08T18:55:34+00:00,https://t.me/kpszsu/67796,166K,КАБ,КАБи на Запоріжжі,"🚀
КАБи на Запоріжжі"
kpszsu,67825,2026-07-09T01:11:52+00:00,https://t.me/kpszsu/67825,75.4K,КАБ,КАБи ➡️ на Донеччину!,"🚀
КАБи
➡️
на Донеччину!"
kpszsu,67826,2026-07-09T01:14:43+00:00,https://t.me/kpszsu/67826,75.6K,КАБ,КАБи ➡️ на Харківщину зі сходу!,"🚀
КАБи
➡️
на Харківщину зі сходу!"
kpszsu,67830,2026-07-09T01:47:55+00:00,https://t.me/kpszsu/67830,70.3K,КАБ,Пуски КАБ ➡️ на Запорізьку область!,"🚀
Пуски КАБ
➡️
на Запорізьку область!"
